y,X,term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,SUBJ,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
avlt_1_5,SUBJ * AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.0635879894443841,0.14991144322006,-0.424170350698587,0.67144158216024,0.574666209447465,-0.357409019026122,0.230233040137354,NA,0.238196278558828,,0,0.636583863031083,
avlt_1_5,SUBJ * AHI.F * AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.0893179307472796,0.162508845276177,-0.549618887485708,0.582580801358287,0.779469935876608,-0.407829414657779,0.22919355316322,NA,0.386795100102506,,0,0.545165840984627,
avlt_1_5,SUBJ * AHI.F * AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.213595785820097,0.264613703906936,0.807198503578705,0.419552127747697,1.2530780237432,-0.305037543653243,0.732229115293438,CON,0.386795100102506,,0,0.545165840984627,
avlt_1_5,SUBJ * AHI.F * AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.378142637241755,0.187947161122837,-2.01196248446983,0.0442238917871098,4.49903019910938,-0.746512304039063,-0.00977297044444753,PD,0.386795100102506,,0,0.545165840984627,
avlt_1_5,SUBJ * AHI.F * AGE + GENDER + EDU.Y,PD - CON,NA,-0.591738423061853,0.321650500287147,-1.83969377486928,0.0658132080074557,3.92547904328156,-1.22216181923395,0.0386849731102457,NA,0.386795100102506,,0,0.545165840984627,
avlt_6,SUBJ * AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.0494811488128566,0.231276799316743,-0.213947741230586,0.83058780995573,0.267795396548046,-0.50277534593337,0.403813048307657,NA,0.0253387693412013,!,0,0.638060051317184,
avlt_6,SUBJ * AHI.F * AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.2467795533016,0.250269261663772,-0.986056184690947,0.324105542884369,1.62546440091038,-0.737298292600024,0.243739185996825,NA,0.509002119234799,,0,0.187263302750881,
avlt_6,SUBJ * AHI.F * AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.192720921316995,0.360589948091344,-0.534460048975561,0.593023282956071,0.753839346699807,-0.899464232763197,0.514022390129207,CON,0.509002119234799,,0,0.187263302750881,
avlt_6,SUBJ * AHI.F * AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.298323830310176,0.296417954055875,-1.00642969235913,0.314208916455064,1.67020397363469,-0.87929234463074,0.282644684010388,PD,0.509002119234799,,0,0.187263302750881,
avlt_6,SUBJ * AHI.F * AGE + GENDER + EDU.Y,PD - CON,NA,-0.105602908993181,0.428176168815693,-0.246634251703619,0.805191294204145,0.312596521083655,-0.944812778910281,0.733606960923919,NA,0.509002119234799,,0,0.187263302750881,
avlt_8,SUBJ * AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.192336208081586,0.211816732186885,-0.908031231035559,0.363861721417066,1.45853780855113,-0.607489374490846,0.222816958327674,NA,0.392089350906023,,0,0.234249144503417,
avlt_8,SUBJ * AHI.F * AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.040053842604414,0.216327175580846,0.185154003406498,0.853108245196411,0.229199287810045,-0.383939630411317,0.464047315620145,NA,0.309201344572644,,0,0.188144326213372,
avlt_8,SUBJ * AHI.F * AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.150071052344571,0.367994491619457,0.407807876917243,0.683414730208456,0.549166751173932,-0.571184897738692,0.871327002427833,CON,0.309201344572644,,0,0.188144326213372,
avlt_8,SUBJ * AHI.F * AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.0648462876129447,0.226296073790374,-0.286555071534357,0.774453019946242,0.368750370328703,-0.508378442084897,0.378685866859007,PD,0.309201344572644,,0,0.188144326213372,
avlt_8,SUBJ * AHI.F * AGE + GENDER + EDU.Y,PD - CON,NA,-0.214917339957515,0.426805847524835,-0.503548255498092,0.614578862186607,0.702329947128274,-1.05144142949729,0.621606749582255,NA,0.309201344572644,,0,0.188144326213372,
avlt_r_fp,SUBJ * AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.11992590278261,0.210495859288655,0.569730460199477,0.568860527134257,0.813853118061718,-0.292638400317964,0.532490205883183,NA,2.22867740254604e-06,!,0,1.95223491021357e-09,!
avlt_r_fp,SUBJ * AHI.F * AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.232535857407002,0.201151264845881,1.15602483327742,0.247670999501458,2.01350314566058,-0.161713377135604,0.626785091949607,NA,9.08337213314572e-08,!,0,1.37470319119769e-08,!
avlt_r_fp,SUBJ * AHI.F * AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.200636927959603,0.265365871452334,0.756076607973465,0.449603265964246,1.15327557940568,-0.319470622813058,0.720744478732264,CON,9.08337213314572e-08,!,0,1.37470319119769e-08,!
avlt_r_fp,SUBJ * AHI.F * AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.262613168402752,0.236987190501759,1.10813233342586,0.26780466883512,1.9007469824456,-0.201873189778028,0.727099526583532,PD,9.08337213314572e-08,!,0,1.37470319119769e-08,!
avlt_r_fp,SUBJ * AHI.F * AGE + GENDER + EDU.Y,PD - CON,NA,0.061976240443149,0.300926610448042,0.205951345914122,0.836828916826593,0.256995389763401,-0.527829078024727,0.651781558911025,NA,9.08337213314572e-08,!,0,1.37470319119769e-08,!
